Name,Release year,Market,Processor,Code name,Device ID,Clock rate,Clock rate,Core config1,API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],API support[62][13][32][49][50],eDRAM  (MiB),Memory  bandwidth  (GB/s)
Name,Release year,Market,Processor,Code name,Device ID,Min  (MHz),Max  (MHz),Core config1,Direct3D,OpenGL,OpenCL,Vulkan,eDRAM  (MiB),Memory  bandwidth  (GB/s)
Iris Pro Graphics 580,2016,Mobile,Core i7-6770HQ,Skylake  (Gen9),193B,350,950,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics 580,2016,Mobile,Core i7-6870HQ,Skylake  (Gen9),193B,350,1000,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics 580,2016,Mobile,Core i7-6970HQ,Skylake  (Gen9),193B,350,1050,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics 580,2016,Desktop,Core i5-6585R,Skylake  (Gen9),193B,350,1100,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics 580,2016,Desktop,Core i5-6685R Core i7-6785R,Skylake  (Gen9),193B,350,1150,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics P580,2016,Workstation,Xeon E3-1578L v5,Skylake  (Gen9),193D,700,1000,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics P580,2016,Mobile  Workstation,Xeon E3-1515M v5,Skylake  (Gen9),193D,350,1000,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics P580,2016,Mobile  Workstation,Xeon E3-1545M v5,Skylake  (Gen9),193D,350,1050,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics P580,2016,Mobile  Workstation,Xeon E3-1575M v5,Skylake  (Gen9),193D,350,1100,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics P580,2016,Workstation,Xeon E3-1565L v5,Skylake  (Gen9),193A,350,1050,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
Iris Pro Graphics P580,2016,Workstation,Xeon E3-1585L v5  Xeon E3-1585 v5,Skylake  (Gen9),193A,350,1150,576:72:9  (GT4),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.0Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,128,34.1
UHD Graphics 600,2017,Mobile,"Celeron N4000, N4020",Gemini Lake  Gemini Lake Refresh  (Gen9LP),3185,200,650,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 600,2017,Mobile,"Celeron N4100, N4120",Gemini Lake  Gemini Lake Refresh  (Gen9LP),3185,200,700,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 600,2017,Desktop,"Celeron J4005, J4025",Gemini Lake  Gemini Lake Refresh  (Gen9LP),3185,250,700,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 600,2017,Desktop,"Celeron J4105, J4125",Gemini Lake  Gemini Lake Refresh  (Gen9LP),3185,250,750,96:12:2,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 605,2017,Mobile,"Pentium Silver N5000, N5030",Gemini Lake  Gemini Lake Refresh  (Gen9LP),3184,200,750,144:18:3,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  2.1Linux,1.2Windows  1.2Linux,-,38.4
UHD Graphics 605,2017,Desktop,"Pentium Silver J5005, J5040",Gemini Lake  Gemini Lake Refresh  (Gen9LP),3184,250,800,144:18:3,12,4.6Windows  4.6Linux  ES 3.2Linux,1.2Windows  2.1Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 610,2017,Mobile,Celeron 3865U  Celeron 3965U,Kaby Lake  (Gen9p5),5906,300,900,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 610,2017,Mobile,Pentium 4415U,Kaby Lake  (Gen9p5),5906,300,950,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 610,2017,Desktop,Celeron G3930TE,Kaby Lake  (Gen9p5),5902,350,950,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 610,2017,Desktop,Celeron G3930E  Celeron G3930T,Kaby Lake  (Gen9p5),5902,350,1000,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 610,2017,Desktop,Celeron G3930  Celeron G3950,Kaby Lake  (Gen9p5),5902,350,1050,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,34.1
HD Graphics 610,2017,Desktop,Pentium G4560T  Pentium G4560,Kaby Lake  (Gen9p5),5902,350,1050,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 610,2017,Desktop,Core i3-7101TE  Core i3-7101E,Kaby Lake  (Gen9p5),5902,350,1100,96:12:2  (GT1),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,38.4
HD Graphics 615,2017,Mobile,Celeron 3965Y  Pentium 4410Y  Pentium 4415Y,Kaby Lake  (Gen9p5),591E,300,850,192:24:3  (GT2),12  FL12_1,4.6Windows  4.1macOS  4.6Linux  ES 3.2Linux,2.1Windows  1.2macOS  2.1Linux,1.2Windows  1.2Linux,-,29.8
