filter- effects,saturate(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,hue-rotate(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,invert(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,opacity(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,brightness(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,contrast(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,blur(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,drop-shadow(),,No,13,35.0[g 67],18.0[w 38],No,No
filter- effects,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables,Variables
css- variables- 1
css- variables- 1,--*,define variable,No,No,31.0[g 68],Experimental [citation needed],No,No
css- variables- 1,var(--*),use variable,No,No,31.0[g 68],Experimental [citation needed],No,No
,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
