ㄏㄞ,hai,hai,hai,hai,hai,hai,hair,hae,hay,xai
ㄏㄢ,han,han,han,han,han,han,harn,haan,hann,xan
ㄏㄤ,hang,hang,hang,hang,hang,hang,harng,haang,hanq,xaŋ
ㄏㄠ,hao,hau,hau,hao,hao,hau,haur,hao,haw,xau
ㄏㄟ,hei,hei,hei,hei,hei,hei,heir,heei,hey,xei
ㄏㄣ,hên,hen,hen,hen,hen,hen,hern,heen,henn,xən
ㄏㄥ,hêng,heng,heng,heng,heng,heng,herng,heeng,henq,xəŋ
ㄏㄜ,ho,he,he,he,he,he,her,hee,heh,xɤ
ㄏㄡ,hou,hou,hou,hou,hou,hou,hour,hoou,how,xou
ㄒㄧ,hsi,shi,syi,si,xi,shi,shyi,shii,shih,ɕi
ㄒㄧㄚ,hsia,shia,sya,sia,xia,shia,shya,shea,shiah,ɕia
ㄒㄧㄤ,hsiang,shiang,syang,siang,xiang,shiang,shyang,sheang,shianq,ɕiaŋ
ㄒㄧㄠ,hsiao,shiau,syau,siao,xiao,shiau,shyau,sheau,shiaw,ɕiau
ㄒㄧㄝ,hsieh,shie,sye,sie,xie,shie,shye,shiee,shieh,ɕie
ㄒㄧㄢ,hsien,shian,syan,sian,xian,shian,shyan,shean,shiann,ɕiɛn
ㄒㄧㄣ,hsin,shin,syin,sin,xin,shin,shyn,shiin,shinn,ɕin
ㄒㄧㄥ,hsing,shing,sying,sing,xing,shing,shyng,shiing,shinq,ɕiŋ
ㄒㄧㄡ,hsiu,shiou,syou,siou,xiu,shiou,shyou,sheou,shiow,ɕiou
ㄒㄩㄥ,hsiung,shiung,syung,syong,xiong,shiong,shyong,sheong,shionq,ɕiʊŋ
ㄒㄩ,hsü,shiu,syu,syu,xu,shiu,shyu,sheu,shiuh,ɕy
ㄒㄩㄢ,hsüan,shiuan,sywan,syuan,xuan,shiuan,shyuan,sheuan,shiuann,ɕyɛn
ㄒㄩㄝ,hsüeh,shiue,sywe,syue,xue,shiue,shyue,sheue,shiueh,ɕye
ㄒㄩㄣ,hsün,shiun,syun,syun,xun,shiun,shyun,sheun,shiunn,ɕyn
ㄏㄨ,hu,hu,hu,hu,hu,hu,hwu,huu,huh,xu
ㄏㄨㄚ,hua,hua,hwa,hua,hua,hua,hwa,hoa,huah,xua
ㄏㄨㄞ,huai,huai,hwai,huai,huai,huai,hwai,hoai,huay,xuai
ㄏㄨㄢ,huan,huan,hwan,huan,huan,huan,hwan,hoan,huann,xuan
ㄏㄨㄤ,huang,huang,hwang,huang,huang,huang,hwang,hoang,huanq,xuaŋ
ㄏㄨㄟ,hui,huei,hwei,huei,hui,huei,hwei,hoei,huey,xuei
ㄏㄨㄣ,hun,huen,hwun,hun,hun,huen,hwen,hoen,huenn,xuən
ㄏㄨㄥ,hung,hung,hung,hong,hong,hong,horng,hoong,honq,xʊŋ
ㄏㄨㄛ,huo,huo,hwo,huo,huo,huo,hwo,huoo,huoh,xuo
ㄧ,i/yi,yi,yi,yi,yi,i,yi,yii,yih,i
ㄖㄢ,jan,ran,ran,ran,ran,rhan,ran,raan,rann,ɻan
