,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
DOM2,clientX,4.0,Yes,1.0,Incorrect,?,1.0
DOM2,clientY,4.0,Yes,1.0,Incorrect,?,1.0
DOM2,ctrlKey,4.0,Yes,1.0,Yes,?,1.0
DOM2,shiftKey,4.0,Yes,1.0,Yes,?,1.0
DOM2,altKey,4.0,Yes,1.0,Yes,?,1.0
DOM2,metaKey,No,No,1.0,Yes,?,1.0
DOM2,button,Incorrect,Incorrect,1.0,Incorrect,?,1.0
DOM2,relatedTarget,No,No,1.0,Yes,?,1.0
DOM2,initMouseEvent(),?,?,1.0,?,?,1.0
Events for interface MouseEvent,Events for interface MouseEvent,Events for interface MouseEvent,Events for interface MouseEvent,Events for interface MouseEvent,Events for interface MouseEvent,Events for interface MouseEvent,Events for interface MouseEvent
DOM2,click,4.0,Yes,1.0,?,?,1.0
DOM2,mousedown,4.0,Yes,1.0,?,?,1.0
DOM2,mouseup,4.0,Yes,1.0,?,?,1.0
DOM2,mouseover,4.0,Yes,1.0,?,?,1.0
DOM2,mousemove,4.0,Yes,1.0,?,?,1.0
DOM2,mouseout,4.0,Yes,1.0,?,?,1.0
Interface MutationEvent,Interface MutationEvent,Interface MutationEvent,Interface MutationEvent,Interface MutationEvent,Interface MutationEvent,Interface MutationEvent,Interface MutationEvent
DOM2,relatedNode,No,No,1.0,?,?,1.0
DOM2,prevValue,No,No,1.0,?,?,1.0
DOM2,newValue,No,No,1.0,?,?,1.0
DOM2,attrName,No,No,1.0,?,?,1.0
DOM2,attrChange,No,No,1.0,?,?,1.0
DOM2,initMutationEvent,No,No,1.0,?,?,1.0
Events for interface MutationEvent,Events for interface MutationEvent,Events for interface MutationEvent,Events for interface MutationEvent,Events for interface MutationEvent,Events for interface MutationEvent,Events for interface MutationEvent,Events for interface MutationEvent
DOM2,DOMSubtreeModified,5.0[t 7],No,1.9,Yes,Partial,No
DOM2,DOMNodeInserted,5.0[t 7],No,1.0,Yes,No,1.0
DOM2,DOMNodeRemoved,5.0[t 7],No,1.0,Yes,No,1.0
DOM2,DOMNodeRemovedFromDocument,5.0[t 7],No,No[g 11],Yes,No,1.0
DOM2,DOMNodeInsertedIntoDocument,5.0[t 7],No,No[g 11],Yes,Yes,1.0
DOM2,DOMAttrModified,5.0[t 7],No,1.0,No,No,1.0
DOM2,DOMCharacterDataModified,5.0[t 7],No,1.0,Yes,No,1.0
Events for HTML,Events for HTML,Events for HTML,Events for HTML,Events for HTML,Events for HTML,Events for HTML,Events for HTML
DOM2,load,4.0,Yes,1.0,?,?,2.0
DOM2,unload,4.0,Yes,1.0,?,?,2.0
DOM2,abort,4.0,Yes,1.0,?,?,No
DOM2,error,4.0,Yes,1.0,?,?,2.0
DOM2,select,4.0,Yes,1.0,?,?,2.0
DOM2,change,4.0,Yes,1.0,?,?,2.0
DOM2,submit,4.0,Yes,1.0,?,?,2.0
DOM2,reset,4.0,Yes,1.0,?,?,2.0
DOM2,focus,4.0,Yes,1.0,?,?,2.0
DOM2,blur,4.0,Yes,1.0,?,?,2.0
DOM2,resize,4.0,Yes,1.0,?,?,2.0
DOM2,scroll,4.0,Yes,1.0,?,?,2.0
