Library Name,License,Free,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Other Features,Interactivity,Interactivity,Rendering Technologies,Rendering Technologies,Rendering Technologies,Databinding,HTML 5 Canvas
NVD3,Apache 2.0[94],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[95],No,,
OLAPCharts,Proprietary,Free basic edition[96],No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,,,
plotly.js,MIT[97],Yes,Yes,Yes[98],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,via Python[99],Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[100],No,,Yes
PlusCharts,Free,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,,
ReactiveChart,MIT[101],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,
RGraph,MIT[102],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
rickshaw,MIT[103],Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,,Yes,Yes,No,No,Yes[104],No,,
Shield UI,Proprietary,Non-commercial or commercial[105],No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes[106],,,
Syncfusion,Proprietary,Yes Free[107] or commercial[108],Yes,Yes,Yes,Yes,Yes,Yes[109],Yes,Yes,Yes[110],No,Yes,Yes,,Yes,Yes,Yes,Yes[111],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[112],
TeeChart JS,MIT[113],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
Vaadin Charts,Proprietary,No[114],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,,,
VanCharts,Proprietary,cc-by-nc 4.0 [115] or commercial [115],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,,,
VisJS,Apache 2.0 and MIT[116],Yes,Yes[117],Yes[118],Yes[119],Yes[120],No,No,No,No,No,Yes[121],Yes[122],Yes,,Yes,Yes,No,No,Yes[123],Yes,Yes,Yes,Yes,No,No,,
Webcharts,MIT[124],Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,No,,
Webix JS Charts,GPL[125],Yes,Yes[126],No,Yes[127],Yes[128],Yes[129],Yes[129],No,Yes[130],No,No,No,Yes[131],,Yes[132],Yes,No,Yes[132],,Yes [133],Yes [134],Yes [135],Yes,No,Yes,Yes,
xcharts,MIT[136],Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,,No,Yes,Yes,No,Yes[17],No,,
YUI Charts,BSD-3[137],Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,Yes[138],,
ZingChart,Proprietary,Free with a link [139] or commercial[140],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes[141],Yes,,
ZoomCharts,Proprietary,Non-commercial or commercial[142],Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes[143],Yes,No,,
