Graphics,Launch,Market,Processor,Code name,Device ID[3],Core clock  (MHz),Core config1,API support[13][32][33][34],API support[13][32][33][34],API support[13][32][33][34],API support[13][32][33][34],Memory  bandwidth (GB/s),DVMT (MB),QSV
Graphics,Launch,Market,Processor,Code name,Device ID[3],Core clock  (MHz),Core config1,Direct3D,OpenGL[24],OpenCL,Vulkan,Memory  bandwidth (GB/s),DVMT (MB),QSV
HD Graphics[41],2013,Mobile,Celeron 29xxU Pentium 35xxU,Haswell,0402 0406 040A 040B 040E  ULT: 0A02 0A06 0A0A 0A0B 0A0E,200–1000,80:10:1[42] (GT1),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes[44]
HD Graphics[41],2013,Mobile,Celeron 29xxY Pentium 35xxY,Haswell,0402 0406 040A 040B 040E  ULT: 0A02 0A06 0A0A 0A0B 0A0E,200–850,80:10:1[42] (GT1),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes[44]
HD Graphics 4200,2013,ULT  Mobile,Core i3-40xxY Core i5-4xxxY Core i7-4610Y,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,200–850,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4400,2013,Desktop,Core i3-4130 Core i3-4150 Core i3-4160 Core i3-4170,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1150,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4400,2013,Desktop,Core i3-4130T Core i3-4150T Core i3-4160T Core i3-4170T,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,200–1150,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4400,2013,Mobile,Core i3-4005U Core i3-4025U,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,200–950,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4400,2013,Mobile,Core i3-4010U Core i3-4100U Core i5-4200U Core i3-4030U Core i3-4120U,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,200–1000,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4400,2013,Mobile,Core i5-4300U  Core i7-4500U  Core i7-4600U,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,200–1100,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Desktop,Core i3-4330 Core i3-4340 Core i5-4570 Core i5-4570S Core i5-4590 Core i5-4590S Core i5-4590T,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350-1150,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Desktop,Core i3-4330T Core i5-4570T,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,200-1150,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Desktop,Core i5-4430  Core i5-4430S  Core i5-4440  Core i5-4440S,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1100,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Desktop,Core i5-4670 Core i5-4670K Core i5-4670S Core i5-4670T Core i5-4690 Core i5-4690K Core i5-4690S Core i5-4690T Core i7-4765T Core i7-4770 Core i7-4770S Core i7-4770T Core i7-4771,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1200,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Desktop,"Core i7-4770K
Core i7-4790K",Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1250,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i3-4xxxE Core i5-4402E,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–900,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i3-4xxxM,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1100,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i5-4200M Core i5-4200H Core i7-47xxMQ Core i7-4702HQ,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1150,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i5-43xxM,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1250,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i5-4400E Core i7-4700EQ,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1000,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i7-4700HQ,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1200,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i7-4xxxM Core i7-4800MQ Core i7-4900MQ,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1300,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics 4600,2013,Mobile,Core i7-4930MX,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,400–1350,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
HD Graphics P4600,2013,Workstation,Xeon E3-1225 v3  Xeon E3-1226 v3  Xeon E3-1245 v3  Xeon E3-1246 v3,Haswell,0412 0416 041A 041B 041E  ULT: 0A12 0A16 0A1A 0A1B 0A1E,350–1200,160:20:2 (GT2),12[43]  FL11_1,4.3Windows  4.1macOS  4.5Linux  ES 3.1Linux,1.2,(1.0)Linux,25.6,2048,Yes
