Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],Cache,Cache,Cache,Socket,Memory Controller,Features,Features,Features
Architecture,Fabrication (nm),Family,Production Date,Code name,Model Group,Cores,Clock rate (MHz),Bus Speed & Type[a],L1,L2,L3,Socket,Memory Controller,SIMD,Speed/Power,Other
K8,90,Athlon 64 FX,,Toledo,FX-60,2,2600,1000,64+64,1024,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64 FX,,Windsor,FX-62,2,2800,1000,64+64,1024,,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,90,Athlon 64 FX,,Windsor,"FX-70, FX-72, FX-74",2,"2600, 2800, 3000",1000,64+64,1024,,Socket F,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,130,Athlon 64,,Clawhammer,,1,2000-2600,800,64+64,1024,,Socket 754,DDR,"MMX, 3DNow!+, SSE, SSE2",Cool'n'Quiet,"AMD64,  NX Bit (not in CG stepping)"
K8,130,Athlon 64,,Clawhammer,,1,2000-2600,1000,64+64,1024,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2",Cool'n'Quiet,"AMD64,  NX Bit (not in CG stepping)"
K8,130,Athlon 64,,Newcastle,,1,1800-2400,800,64+64,512,,Socket 754,DDR,"MMX, 3DNow!+, SSE, SSE2",Cool'n'Quiet,"AMD64,  NX Bit"
K8,130,Athlon 64,,Newcastle,,1,1800-2400,1000,64+64,512,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64,,Winchester,,1,1800-2200,1000,64+64,512,,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64,,Venice,,1,1800-2400,800,64+64,512,,Socket 754,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64,,Venice,,1,1800-2400,1000,64+64,512,,Socket 939,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64,,San Diego,,1,2200-2600,1000,64+64,1024,,Socket 939,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64,,Orleans,,1,1800-2600,1000,64+64,512,,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,65,Athlon 64,,Lima,,1,2000-2800,1000,64+64,512,,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,90,Athlon 64 X2,,Manchester,3600+,2,2000,1000,64+64,"256 PC, FS",,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64 X2,,Manchester,"3800+, 4200+, 4600+",2,"2000, 2200, 2400",1000,64+64,"512 PC, FS",,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64 X2,,Toledo,"3800+, 4200+, 4600+",2,"2000, 2200, 2400",1000,64+64,"512 PC, FS",,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64 X2,,Toledo,"4400+, 4800+",2,"2200, 2400",1000,64+64,"1024 PC, FS",,Socket 939,DDR,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit"
K8,90,Athlon 64 X2,,Windsor,3600+,2,2000,1000,64+64,"256 PC, FS",,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,90,Athlon 64 X2,,Windsor,"3800+, 4200+, 4600+, 5000+, 5400+",2,"2000, 2200, 2400, 2600, 2800",1000,64+64,"512 PC, FS",,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
K8,90,Athlon 64 X2,,Windsor,"4000+, 4400+, 4800+, 5200+, 5600+, 6000+, 6400+",2,"2000, 2200, 2400, 2600, 2800, 3000, 3200",1000,64+64,"1024 PC, FS",,Socket AM2,DDR2,"MMX, 3DNow!+, SSE, SSE2, SSE3",Cool'n'Quiet,"AMD64,  NX Bit,  AMD-V"
